"","Subject","Pre","Post","LeaYrs","DUH","AECI","List","Trial","Time","Type"
"270","a622c52a",9.44,10,1,6.5,4,"0","3",NA,"MATCH"
"271","703c4f99",8.33,10,3,0.5,4,"0","3",1130,"MATCH"
"272","4103a03c",6.11,10,3,4.5,4,"0","3",2555,"MATCH"
"273","762813ff",6.67,10,2,1,5,"0","3",1673,"MATCH"
"274","a9000b65",8.89,9.44,3,0,3.3333333333,"0","3",646,"MATCH"
"275","36bbb9aa",3.33,10,3,1,4,"0","3",1102,"MATCH"
"276","08482304",2.22,3.88,3,0,4,"0","3",NA,"MATCH"
"277","b24230d8",4.44,9.44,3,2,3,"0","3",1499,"MATCH"
"278","6de2d396",8.88,10,4,1.5,4.3333333333,"0","3",995,"MATCH"
"279","b2ed9879",8.33,10,4,0,3.6666666667,"0","3",NA,"MATCH"
"280","9355ed08",10,10,2,0,3.6666666667,"0","3",1414,"MATCH"
"281","2dc3d9da",5.56,10,3,0,2.6666666667,"0","3",NA,"MATCH"
"282","b8f67042",7.78,9.44,3,2,4.6666666667,"0","3",1218,"MATCH"
"283","27ead6f4",6.67,9.44,2,2.5,3.3333333333,"0","3",2721,"MATCH"
"284","2268d4d0",5,9.44,3,3,5,"0","3",700,"MATCH"
"285","de953033",6.67,10,7,1,4,"0","3",1101,"MATCH"
"286","b90ea9a3",6.11,10,3,3,4,"0","3",789,"MATCH"
"287","1521ab81",10,10,3,5,3.6666666667,"0","3",680,"MATCH"
"288","56aa6a3a",3.89,10,3,0,3,"0","3",742,"MATCH"
"289","658e1e76",3.89,10,2,0,NA,"0","3",701,"MATCH"
"290","adc9431a",5.55,10,4,11.5,4,"0","3",NA,"MATCH"
"291","c73ec47c",9.44,10,4,3,4,"0","3",1005,"MATCH"
"292","9076a73c",2.78,8.89,3,2,4,"0","3",2192,"MATCH"
"293","a17d89a6",6.67,9.44,4,2,3.3333333333,"0","3",NA,"MATCH"
"294","8d9e7fde",8.33,10,3,0,3.6666666667,"0","3",1229,"MATCH"
"295","256d204e",4.44,10,1,2.5,4,"0","3",1021,"MATCH"
"296","558361f3",6.11,10,5,3,3.6666666667,"0","3",NA,"MATCH"
"297","7a9bb206",6.67,6.11,1,1.5,3.3333333333,"0","3",1460,"MATCH"
"298","88bd19b9",3.33,10,9,2,4.3333333333,"0","3",NA,"MATCH"
"299","869dc024",6.67,10,4.75,6,4.6666666667,"0","3",NA,"MATCH"
"300","820c6812",8.89,9.44,1,4,4,"0","3",1564,"MATCH"
"301","e8ea90ca",NA,NA,NA,NA,NA,"0","3",NA,"MATCH"
"302","8cac1011",4.44,10,3,0,2.6666666667,"0","3",1113,"MATCH"
"303","cff91060",3.33,10,3,1,4.3333333333,"0","3",NA,"MATCH"
"304","5fe80c1a",7.78,10,2,0.5,4,"0","3",969,"MATCH"
"305","217d559f",7.22,9.44,1,2.5,5,"0","3",1702,"MATCH"
"306","ef4bfb92",6.66,8.88,3,0.5,3,"0","3",1525,"MATCH"
"307","9ce86642",3.33,10,1,0,4.6666666667,"0","3",NA,"MATCH"
"308","024c8398",5,10,2,2,3.6666666667,"0","3",NA,"MATCH"
"309","66a18c79",10,10,3,4,5,"0","3",3444,"MATCH"
"310","e60663a7",6.67,8.89,3,3,5,"0","3",1454,"MATCH"
"311","99fdfb6a",7.78,9.44,3,1.25,4.3333333333,"0","3",457,"MATCH"
"312","534a944d",7.22,8.89,1,3,4.6666666667,"0","3",NA,"MATCH"
"313","2aa9ab68",2.77,5,3,0,4.6666666667,"0","3",778,"MATCH"
"314","00f4bacf",5.56,10,16,4,5,"0","3",550,"MATCH"
"315","eb0bd775",5.56,10,3,2.5,4.3333333333,"0","3",682,"MATCH"
"316","3de36e48",4.44,10,3,0.5,4.6666666667,"0","3",1155,"MATCH"
"317","9fbdae41",8.89,10,3,0,5,"0","3",NA,"MATCH"
"318","14028ce4",5,10,3,1.5,4.3333333333,"0","3",1714,"MATCH"
"319","3fd4437d",7.22,10,3,0,3.3333333333,"1","3",490,"MATCH"
"320","5916d1b4",6.11,7.78,2,0,4.3333333333,"1","3",486,"MATCH"
"321","e66fdba0",4.44,10,2,2,4.6666666667,"1","3",559,"MATCH"
"322","15bfb74c",4.44,10,1,1,4,"1","3",927,"MATCH"
"323","263c755d",5.55,4.44,3,0.25,3.3333333333,"1","3",406,"MATCH"
"324","0ab3083c",6.11,7.22,3,0,2.6666666667,"1","3",560,"MATCH"
"325","6c2aef23",6.11,10,5,0,4.6666666667,"1","3",NA,"MATCH"
