"","Subject","Pre","Post","LeaYrs","DUH","AECI","LangLev","List","Trial","Time","Type"
"256","c15f1815",7.8,9.4,1.25,0.5,3,"A2","1","3",1400,"MATCH"
"257","0602ea72",10,10,4,0.5,4.1666666667,"B1","1","3",2004,"MATCH"
"258","da0f3d33",9.4,9.4,4.5,0.375,3.6666666667,"B1","1","3",1617,"MATCH"
"259","337d4896",8.9,10,5,1,1.6666666667,"B1","1","3",1041,"MATCH"
"260","8e107dc5",9.4,10,5.25,0.5,4.3333333333,"B1","1","3",1402,"MATCH"
"261","4f7e6316",7.8,10,3,0,3.6666666667,"B1","1","3",2779,"MATCH"
"262","016cb1a1",10,10,3.75,0,4,"B1","1","3",1998,"MATCH"
"263","e4e0da4a",10,10,1.5,0.5,4.3333333333,"B1","1","3",2878,"MATCH"
"264","63cc68df",8.9,10,0.25,1.25,4.6666666667,"B1","1","3",NA,"MATCH"
"265","e6c18c70",7.8,10,10,0.55,4,"B1","1","3",1059,"MATCH"
"266","d66fa12b",5.6,10,4,1,3.6666666667,"B1","1","3",1387,"MATCH"
"267","dbeeb7ea",6.7,9.4,3.5,0.5,4,"B1","1","3",1839,"MATCH"
"268","fb3bf7ba",6.1,8.3,2.5,0.25,3.3333333333,"B1","1","3",685,"MATCH"
"269","8fa7f98f",7.2,9.4,4,0,3.6666666667,"B1","1","3",1182,"MATCH"
"270","7a99a20a",9.4,10,5,0.25,4.3333333333,"B1","1","3",984,"MATCH"
"271","23c390c9",7.8,7.2,1.5,0.125,3,"B1","1","3",1007,"MATCH"
"272","0d3bd7a0",6.7,8.9,3,1.25,3.5,"B1","1","3",1081,"MATCH"
"273","e026b148",2.2,10,6,0,4.6666666667,"B1","1","3",815,"MATCH"
"274","b2f7aa09",4.4,10,3,0.75,4.3333333333,"B1","1","3",1278,"MATCH"
"275","59c1a5e7",7.2,10,3,0,3.3333333333,"B1","1","3",922,"MATCH"
"276","c114f50f",10,10,0.5,0.5,4.6666666667,"B1","1","3",1094,"MATCH"
"277","3deaf195",8.8,10,1,0,3.6666666667,"B1","1","3",1711,"MATCH"
"278","514e5fd7",10,10,5,1.5,4.6666666667,"B2+","1","3",2269,"MATCH"
"279","ffbb64d5",10,10,7,4,4.3333333333,"B2+","1","3",654,"MATCH"
"280","3387e93f",8.8,10,15,1,4.6666666667,"B2+","1","3",2654,"MATCH"
"281","7b3f5faa",10,10,10,0.125,4.6666666667,"B2+","1","3",789,"MATCH"
"282","5f0bf551",1.7,10,7.5,1,4,"B2+","1","3",864,"MATCH"
"283","32e65391",4.4,10,1,3.25,4.3333333333,"B2+","1","3",926,"MATCH"
"284","31e5a7ee",10,10,10.5,0,4,"B2+","1","3",1438,"MATCH"
"285","b03a0210",10,10,7,0.25,4.6666666667,"B2+","1","3",1314,"MATCH"
"286","848074de",7.8,10,2,1.25,4,"B2+","1","3",1291,"MATCH"
"287","428830bf",8.3,10,6,1.75,4.3333333333,"B2+","1","3",1377,"MATCH"
"288","d5268043",9.4,10,0.75,0.3,4.3333333333,"B2+","1","3",1751,"MATCH"
"289","947b36a8",4.4,6.1,2,1,4,"B2+","1","3",934,"MATCH"
"290","f38ed83e",9.4,10,6.5,0,3.6666666667,"B2+","1","3",768,"MATCH"
"291","9c64d930",6.1,10,2,0,4.3333333333,"B2+","1","3",1373,"MATCH"
"292","eb02331f",10,10,6,0,5,"B2+","1","3",1543,"MATCH"
"293","10848d7c",9.4,10,5,1.5,4.6666666667,"B2+","1","3",1036,"MATCH"
"294","cbd7a6c9",10,10,1,0.5,4.3333333333,"B2+","1","3",1155,"MATCH"
"295","2b9cdd4b",10,10,5,0.75,5,"B2+","1","3",1009,"MATCH"
"296","66ae62e9",3.3,10,6,0,3.6666666667,"B2+","1","3",1247,"MATCH"
"297","ad139538",10,10,22,0,4.3333333333,"B2+","1","3",1002,"MATCH"
"298","ced60332",9.4,10,2,1,4,"B2+","1","3",902,"MATCH"
"299","001b6dbd",10,10,3.5,0,4.3333333333,"B2+","1","3",2689,"MATCH"
"300","c6d0416f",10,10,5,1.5,5,"B2+","1","3",1380,"MATCH"
"301","7f602b96",5,10,1,1.75,4.3333333333,"A2","0","4",720,"MATCH"
"302","4c0ed8e8",2.2,7.8,2.25,0.25,3.3333333333,"A2","0","4",1066,"MATCH"
"303","5f09194f",7.8,8.3,9,0,3.3333333333,"A2","0","4",827,"MATCH"
"304","cf96590e",8.3,9.4,0.5,0.375,3.6666666667,"A2","0","4",708,"MATCH"
"305","7e2ddfb9",2.2,10,0.75,0.75,3.6666666667,"A2","0","4",1602,"MATCH"
